kid2019,pindex2008,NOBS2008,pindex2009,NOBS2009,pindex2010,NOBS2010,pindex2011,NOBS2011,pindex2012,NOBS2012,pindex2013,NOBS2013,pindex2014,NOBS2014,pindex2015,NOBS2015,pindex2016,NOBS2016,pindex2017,NOBS2017,pindex2018,NOBS2018,pindex2019,NOBS2019,pindex2020,NOBS2020,pindex2021,NOBS2021,pindex2022,NOBS2022,pindex2023,NOBS2023,pindex2024,NOBS2024,pindex2025,NOBS2025,avg_return_all_time,avg_return_10yr,avg_return_5yr,return_2009,return_2010,return_2011,return_2012,return_2013,return_2014,return_2015,return_2016,return_2017,return_2018,return_2019,return_2020,return_2021,return_2022,return_2023,return_2024,return_2025,dataset_type
08335,7.025,1573,6.951,1645,6.788,1708,7.094,2064,7.31,1869,7.426,2116,7.756,1595,7.401,1194,7.544,1169,8.117,992,8.888,1150,9.312,908,9.558,1074,9.732,1345,10.117,1086,10.456,1523,13.37,2245,11.46,1048,3.22,4.91,4.54,-1.0534,-2.345,4.508,3.0448,1.5869,4.4438,-4.5771,1.9322,7.5954,9.4986,4.7705,2.6418,1.8205,3.956,3.3508,27.8692,-14.2857,renting
08336,5.913,1284,6.029,1499,6.189,1644,6.237,1735,6.565,1366,6.853,1239,7.951,1369,8.539,1117,8.164,787,9.051,982,9.032,1229,9.489,1261,9.283,1798,9.397,2263,9.688,1911,10.209,2028,10.703,2149,11.622,1074,4.16,3.23,4.63,1.9618,2.6538,0.7756,5.2589,4.3869,16.0222,7.3953,-4.3916,10.8648,-0.2099,5.0598,-2.1709,1.2281,3.0967,5.3778,4.8389,8.5864,renting
08337,5.33,448,5.306,537,5.318,796,5.445,795,5.539,599,5.938,693,6.193,606,6.41,568,6.484,401,6.985,477,7.236,589,7.5,530,7.531,850,7.742,849,8.021,771,8.327,951,8.651,1008,9.152,483,3.25,3.64,3.98,-0.4503,0.2262,2.3881,1.7264,7.2035,4.2944,3.504,1.1544,7.7267,3.5934,3.6484,0.4133,2.8018,3.6037,3.815,3.891,5.7912,renting
08415,6.039,1581,6.056,1593,6.125,1866,6.046,2097,6.248,1932,6.371,2201,6.697,1970,6.645,1781,6.559,1785,7.543,1315,8.078,1272,8.363,1123,8.707,1747,8.763,2146,9.113,1637,9.503,2167,9.991,2967,10.36,1502,3.29,4.62,3.55,0.2815,1.1394,-1.2898,3.3411,1.9686,5.1169,-0.7765,-1.2942,15.0023,7.0927,3.5281,4.1134,0.6432,3.9941,4.2796,5.1352,3.6933,renting
08416,6.886,2014,6.787,2212,6.733,2533,6.773,2338,6.95,2506,6.794,2551,7.307,2491,7.456,1915,7.238,1878,8.226,1415,8.601,1286,9.105,1308,9.396,1744,9.58,1834,11.207,1510,13.081,2324,14.861,3599,13.338,1415,4.22,6.34,7.8,-1.4377,-0.7956,0.5941,2.6133,-2.2446,7.5508,2.0391,-2.9238,13.6502,4.5587,5.8598,3.196,1.9583,16.9833,16.7217,13.6075,-10.2483,renting
08417,4.794,354,3.932,855,4.392,853,4.1,1296,4.584,978,4.918,1000,5.214,914,5.496,687,5.751,719,5.985,680,6.28,577,6.574,407,6.949,849,7.085,898,7.451,806,7.816,1022,8.228,1601,8.482,804,3.65,4.44,4.08,-17.9808,11.6989,-6.6485,11.8049,7.2862,6.0187,5.4085,4.6397,4.0689,4.929,4.6815,5.7043,1.9571,5.1658,4.8987,5.2712,3.087,renting
08421,6.481,1202,6.562,1385,6.654,1879,6.835,1756,6.98,1858,7.275,2393,7.306,2247,6.894,2225,7.051,2193,7.976,1679,8.335,1450,8.763,1238,9.057,1600,9.146,1715,9.557,1535,9.723,1767,9.872,2016,10.604,1051,3.0,4.45,3.23,1.2498,1.402,2.7202,2.1214,4.2264,0.4261,-5.6392,2.2773,13.1187,4.501,5.135,3.355,0.9827,4.4938,1.7369,1.5324,7.4149,renting
08425,5.462,881,5.33,677,5.41,1232,5.399,1537,5.551,1288,5.635,1263,5.721,1286,6.437,882,6.379,588,6.733,720,6.959,644,7.099,522,7.444,880,7.671,1017,7.964,851,8.394,1086,8.938,1417,9.13,570,3.12,3.58,4.18,-2.4167,1.5009,-0.2033,2.8153,1.5132,1.5262,12.5153,-0.901,5.5495,3.3566,2.0118,4.8598,3.0494,3.8196,5.3993,6.4808,2.1481,renting
08426,5.093,291,5.117,414,5.271,649,5.339,894,5.408,1001,5.508,1484,5.803,1748,5.996,964,6.143,622,6.541,655,6.686,644,7.088,548,7.341,778,7.538,833,8.018,792,8.236,1170,8.753,1327,9.005,678,3.43,4.17,4.19,0.4712,3.0096,1.2901,1.2924,1.8491,5.3558,3.3259,2.4516,6.4789,2.2168,6.0126,3.5694,2.6836,6.3677,2.7189,6.2773,2.879,renting
08435,6.324,909,6.446,974,6.77,1378,6.801,1933,6.871,1697,7.172,1839,7.473,2173,7.428,1576,7.581,1170,7.978,1433,8.256,1364,8.619,910,9.036,1459,9.139,1703,9.579,1287,10.016,1646,10.55,2144,11.58,1049,3.65,4.56,5.12,1.9292,5.0264,0.4579,1.0293,4.3807,4.1969,-0.6022,2.0598,5.2368,3.4846,4.3968,4.8381,1.1399,4.8145,4.5621,5.3315,9.763,renting
