kid2019,pindex2008,NOBS2008,pindex2009,NOBS2009,pindex2010,NOBS2010,pindex2011,NOBS2011,pindex2012,NOBS2012,pindex2013,NOBS2013,pindex2014,NOBS2014,pindex2015,NOBS2015,pindex2016,NOBS2016,pindex2017,NOBS2017,pindex2018,NOBS2018,pindex2019,NOBS2019,pindex2020,NOBS2020,pindex2021,NOBS2021,pindex2022,NOBS2022,pindex2023,NOBS2023,pindex2024,NOBS2024,pindex2025,NOBS2025,avg_return_all_time,avg_return_10yr,avg_return_5yr,return_2009,return_2010,return_2011,return_2012,return_2013,return_2014,return_2015,return_2016,return_2017,return_2018,return_2019,return_2020,return_2021,return_2022,return_2023,return_2024,return_2025,dataset_type
06438,1239.53,4393,1083.756,3526,1113.376,3124,1148.36,3883,1221.464,3563,1315.41,3665,1344.288,3955,1413.884,2514,1543.541,2026,1677.607,2184,1842.65,2098,1979.814,1590,2261.494,1662,2542.547,1639,2724.805,1691,2504.54,2403,2529.969,2368,2515.956,1027,4.48,6.13,2.39,-12.5672,2.7331,3.1422,6.3659,7.6913,2.1954,5.1772,9.1703,8.6856,9.838,7.4438,14.2276,12.4278,7.1683,-8.0837,1.0153,-0.5539,apt_purchase
06439,1151.31,1313,1105.216,1115,1121.331,1242,1167.063,1447,1192.825,1363,1297.271,1584,1252.664,1422,1415.61,1177,1478.42,846,1591.46,798,1666.496,782,1785.785,567,2060.332,710,2476.92,607,2479.884,733,2514.539,1014,2314.351,1056,2374.499,374,4.57,5.57,3.27,-4.0036,1.4581,4.0784,2.2074,8.7562,-3.4385,13.008,4.437,7.646,4.7149,7.1581,15.374,20.2195,0.1197,1.3974,-7.9612,2.5989,apt_purchase
06440,1204.538,1348,1134.571,1494,1124.081,1273,1168.032,1445,1372.586,2254,1338.47,2382,1361.645,2197,1463.752,2006,1559.102,1289,1730.406,1384,1733.928,1056,1927.042,666,2236.079,797,2451.988,797,2719.597,704,2589.634,1134,2476.89,1180,2588.534,499,4.84,6.08,3.19,-5.8086,-0.9246,3.9099,17.5127,-2.4855,1.7315,7.4988,6.5141,10.9874,0.2035,11.1374,16.0369,9.6557,10.914,-4.7788,-4.3537,4.5074,apt_purchase
06531,1053.467,629,971.041,712,1023.69,589,1029.892,602,1102.44,670,1168.021,1037,1232.93,1059,1395.779,739,1454.253,507,1502.328,720,1599.41,426,1744.943,310,1904.158,335,2204.659,275,2278.594,342,2286.646,606,2214.957,611,2308.646,260,4.87,5.28,4.12,-7.8243,5.4219,0.6058,7.0442,5.9487,5.5572,13.2083,4.1893,3.3058,6.4621,9.0992,9.1244,15.7813,3.3536,0.3534,-3.1351,4.2298,apt_purchase
06532,912.884,352,801.754,327,889.578,312,882.794,296,902.457,429,925.529,623,882.457,563,1033.176,404,1042.591,341,981.282,382,1263.877,482,1224.19,332,1249.477,272,1628.023,134,1553.02,211,1814.286,438,1941.92,450,1761.436,194,4.6,6.3,8.05,-12.1735,10.954,-0.7626,2.2274,2.5566,-4.6538,17.0795,0.9113,-5.8804,28.7986,-3.1401,2.0656,30.2964,-4.607,16.8231,7.0349,-9.2941,apt_purchase
06533,1045.081,577,944.715,571,869.814,334,1004.678,554,966.704,537,1121.86,525,1156.069,606,1053.277,434,1038.256,330,1183.711,399,1274.67,353,1295.594,457,1480.397,306,1726.862,317,1963.889,297,2067.202,382,2103.304,514,1911.222,180,4.05,6.44,5.65,-9.6037,-7.9284,15.5049,-3.7797,16.05,3.0493,-8.8915,-1.4261,14.0096,7.6842,1.6415,14.264,16.6486,13.7259,5.2606,1.7464,-9.1324,apt_purchase
06534,1067.196,585,1036.748,709,1104.11,491,1097.136,526,1121.078,572,1291.71,482,1386.037,502,1410.116,526,1320.304,399,1554.118,293,1503.876,325,1839.892,195,1891.798,157,2208.047,258,2199.49,251,2076.839,365,1744.771,527,2072.104,145,4.49,4.68,2.7,-2.8531,6.4974,-0.6316,2.1822,15.2204,7.3025,1.7373,-6.3691,17.7091,-3.2328,22.3433,2.8211,16.7168,-0.3875,-5.5763,-15.9891,18.7608,apt_purchase
06611,845.669,1017,761.99,975,799.041,597,849.482,600,946.488,560,1017.508,606,1076.281,482,1169.982,601,1277.339,584,1462.229,474,1565.104,456,1534.933,453,1779.357,519,1706.374,366,2114.435,263,2077.004,487,2015.21,638,2062.344,264,5.69,6.21,3.48,-9.895,4.8624,6.3127,11.4194,7.5035,5.7762,8.706,9.176,14.4746,7.0355,-1.9277,15.9241,-4.1017,23.9139,-1.7703,-2.9752,2.3389,apt_purchase
06631,847.382,301,875.271,354,836.042,253,917.002,238,1021.877,280,1093.75,365,1158.04,343,1004.232,232,1134.974,221,1308.902,187,1506.784,218,1457.156,179,1610.543,160,1900.235,123,2009.456,187,2049.45,295,2077.919,163,2156.92,71,5.95,8.16,6.18,3.2912,-4.4819,9.6837,11.4367,7.0334,5.8779,-13.2818,13.0191,15.3244,15.1182,-3.2936,10.5265,17.9872,5.7478,1.9903,1.3891,3.8019,apt_purchase
06633,809.035,403,730.313,474,748.151,288,717.282,261,845.668,394,929.33,473,965.054,454,972.161,385,898.961,413,1098.935,342,1158.935,358,1247.578,178,1464.305,451,1543.645,281,1851.199,121,1533.012,263,1645.847,258,1525.24,131,4.37,5.34,1.64,-9.7304,2.4425,-4.126,17.899,9.893,3.8441,0.7364,-7.5296,22.245,5.4598,7.6487,17.3718,5.4183,19.9239,-17.1882,7.3603,-7.328,apt_purchase
